freq,indic_env,wst_oper,geo\TIME_PERIOD	2004 	2006 	2008 	2010 	2012 	2014 	2016 	2018 	2020 
A,CAP,DSP_I,FR81	: 	: 	: 	: 	0 	0 	: 	: 	: 
A,CAP,DSP_I,FR82	: 	: 	: 	: 	0 	0 	: 	: 	: 
A,CAP,DSP_I,FR83	: 	: 	0 	0 	0 	0 	: 	: 	: 
A,CAP,DSP_I,FR9	: 	0 	: 	: 	0 	: 	: 	: 	: 
A,CAP,DSP_I,FR91	: 	: 	: 	: 	0 	: 	: 	: 	: 
A,CAP,DSP_I,FR92	: 	: 	: 	: 	0 	: 	: 	: 	: 
A,CAP,DSP_I,FR93	: 	: 	: 	0 	0 	: 	: 	: 	: 
A,CAP,DSP_I,FR94	: 	: 	: 	0 	0 	: 	: 	: 	: 
A,CAP,DSP_I,FRA	: 	: 	: 	: 	: 	0 	: 	: 	: 
A,CAP,DSP_I,FRA1	: 	: 	: 	: 	: 	0 	: 	: 	: 
A,CAP,DSP_I,FRA2	: 	: 	: 	: 	: 	0 	: 	: 	: 
A,CAP,DSP_I,FRA3	: 	: 	: 	: 	: 	0 	: 	: 	: 
A,CAP,DSP_I,FRA4	: 	: 	: 	: 	: 	0 	: 	: 	: 
A,CAP,DSP_I,FRA5	: 	: 	: 	: 	: 	0 	: 	: 	: 
A,CAP,DSP_I,FRB	: 	: 	: 	: 	: 	: 	238200 	121200 	141000 
A,CAP,DSP_I,FRB0	: 	: 	: 	: 	: 	: 	238200 	121200 	141000 
A,CAP,DSP_I,FRC	: 	: 	: 	: 	: 	: 	250000 	247500 	206500 
A,CAP,DSP_I,FRC1	: 	: 	: 	: 	: 	: 	24000 	24000 	24000 
A,CAP,DSP_I,FRC2	: 	: 	: 	: 	: 	: 	226000 	223500 	182500 
A,CAP,DSP_I,FRD	: 	: 	: 	: 	: 	: 	230000 	100000 	100000 
A,CAP,DSP_I,FRD1	: 	: 	: 	: 	: 	: 	130000 	0 	0 
A,CAP,DSP_I,FRD2	: 	: 	: 	: 	: 	: 	100000 	100000 	100000 
A,CAP,DSP_I,FRE	: 	: 	: 	: 	: 	: 	252000 	0 	0 
A,CAP,DSP_I,FRE1	: 	: 	: 	: 	: 	: 	252000 	0 	0 
A,CAP,DSP_I,FRE2	: 	: 	: 	: 	: 	: 	0 	0 	0 
A,CAP,DSP_I,FRF	: 	: 	: 	: 	: 	: 	570000 	504000 	205000 
A,CAP,DSP_I,FRF1	: 	: 	: 	: 	: 	: 	440000 	270000 	170000 
A,CAP,DSP_I,FRF2	: 	: 	: 	: 	: 	: 	0 	104000 	0 
A,CAP,DSP_I,FRF3	: 	: 	: 	: 	: 	: 	130000 	130000 	35000 
A,CAP,DSP_I,FRG	: 	: 	: 	: 	: 	: 	0 	0 	0 
A,CAP,DSP_I,FRG0	: 	: 	: 	: 	: 	: 	0 	0 	0 
A,CAP,DSP_I,FRH	: 	: 	: 	: 	: 	: 	191800 	106300 	76300 
A,CAP,DSP_I,FRH0	: 	: 	: 	: 	: 	: 	191800 	106300 	76300 
A,CAP,DSP_I,FRI	: 	: 	: 	: 	: 	: 	304000 	175000 	141000 
A,CAP,DSP_I,FRI1	: 	: 	: 	: 	: 	: 	120000 	35000 	35000 
A,CAP,DSP_I,FRI2	: 	: 	: 	: 	: 	: 	150000 	110000 	11000 
A,CAP,DSP_I,FRI3	: 	: 	: 	: 	: 	: 	34000 	30000 	95000 
A,CAP,DSP_I,FRJ	: 	: 	: 	: 	: 	: 	409280 	407000 	77000 
A,CAP,DSP_I,FRJ1	: 	: 	: 	: 	: 	: 	44280 	42000 	42000 
A,CAP,DSP_I,FRJ2	: 	: 	: 	: 	: 	: 	365000 	365000 	35000 
A,CAP,DSP_I,FRK	: 	: 	: 	: 	: 	: 	549100 	181000 	65000 
A,CAP,DSP_I,FRK1	: 	: 	: 	: 	: 	: 	74100 	0 	0 
A,CAP,DSP_I,FRK2	: 	: 	: 	: 	: 	: 	475000 	181000 	65000 
A,CAP,DSP_I,FRL	: 	: 	: 	: 	: 	: 	735000 	375000 	375000 
A,CAP,DSP_I,FRL0	: 	: 	: 	: 	: 	: 	735000 	375000 	375000 
A,CAP,DSP_I,FRM	: 	: 	: 	: 	: 	: 	0 	0 	0 
A,CAP,DSP_I,FRM0	: 	: 	: 	: 	: 	: 	0 	0 	0 
A,CAP,DSP_I,FRY	: 	: 	: 	: 	: 	: 	115000 	115000 	115000 
A,CAP,DSP_I,FRY1	: 	: 	: 	: 	: 	: 	0 	0 	0 
A,CAP,DSP_I,FRY2	: 	: 	: 	: 	: 	: 	115000 	115000 	115000 
A,CAP,DSP_I,FRY3	: 	: 	: 	: 	: 	: 	0 	0 	0 
A,CAP,DSP_I,FRY4	: 	: 	: 	: 	: 	: 	0 	0 	0 
A,CAP,DSP_I,FRY5	: 	: 	: 	: 	: 	: 	0 	0 	0 
A,CAP,DSP_I,HR	595 	3 	: 	: c	1510 	1010 	0 	0 	0 
A,CAP,DSP_I,HR0	: 	: 	: 	: c	1510 	1010 	0 	0 	0 
A,CAP,DSP_I,HR01	: 	: 	: 	: c	0 	: 	: 	: 	: 
A,CAP,DSP_I,HR02	: 	: 	: 	: c	1510 	: 	: 	: 	0 
A,CAP,DSP_I,HR03	: 	: 	: 	: c	0 	0 	0 	0 	0 
A,CAP,DSP_I,HR04	: 	: 	: 	: 	: 	1010 	0 	0 	0 
A,CAP,DSP_I,HR05	: 	: 	: 	: 	: 	: 	: 	: 	0 
A,CAP,DSP_I,HR06	: 	: 	: 	: 	: 	: 	: 	: 	0 
A,CAP,DSP_I,HU	55499 	104414 	104414 	145205 	150565 	103288 	108644 	120847 	: 
A,CAP,DSP_I,HU1	: 	0 	0 	4041 	4041 	3040 	3260 	3260 	: 
A,CAP,DSP_I,HU10	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_I,HU11	: 	: 	: 	: 	: 	: 	3260 	3260 	: 
A,CAP,DSP_I,HU12	: 	: 	: 	: 	: 	: 	0 	0 	: 
A,CAP,DSP_I,HU2	39866 	60036 	60036 	65784 	65784 	51395 	56860 	65580 	: 
A,CAP,DSP_I,HU21	30386 	52036 	52036 	56304 	56304 	43000 	47380 	62380 	: 
A,CAP,DSP_I,HU22	9480 	8000 	8000 	9480 	9480 	8040 	9480 	3200 	: 
A,CAP,DSP_I,HU23	: 	0 	0 	0 	0 	355 	0 	0 	: 
A,CAP,DSP_I,HU3	15633 	44378 	44378 	75380 	80740 	48853 	48524 	52007 	: 
A,CAP,DSP_I,HU31	8700 	36490 	36490 	64420 	64420 	42657 	48524 	45257 	: 
A,CAP,DSP_I,HU32	6804 	7168 	7168 	10240 	15600 	6196 	0 	6750 	: 
