freq,indic_env,wst_oper,geo\TIME_PERIOD	2004 	2006 	2008 	2010 	2012 	2014 	2016 	2018 	2020 
A,FAC,DSP_L,DED	26 	16 	16 	11 	10 	7 	6 	6 	6 
A,FAC,DSP_L,DED1	4 	2 	2 	: 	: 	: 	: 	: 	: 
A,FAC,DSP_L,DED2	13 	10 	10 	6 	0 	5 	5 	4 	4 
A,FAC,DSP_L,DED3	9 	4 	4 	: 	: 	: 	: 	: 	: 
A,FAC,DSP_L,DED4	5 	2 	: 	2 	7 	0 	0 	1 	1 
A,FAC,DSP_L,DED5	8 	4 	: 	3 	3 	2 	1 	1 	1 
A,FAC,DSP_L,DEE	37 	16 	12 	9 	9 	10 	13 	13 	13 
A,FAC,DSP_L,DEE0	: 	16 	12 	9 	9 	10 	13 	13 	13 
A,FAC,DSP_L,DEE1	10 	: 	: 	: 	: 	: 	: 	: 	: 
A,FAC,DSP_L,DEE2	9 	: 	: 	: 	: 	: 	: 	: 	: 
A,FAC,DSP_L,DEE3	18 	: 	: 	: 	: 	: 	: 	: 	: 
A,FAC,DSP_L,DEF	25 	18 	17 	17 	17 	17 	17 	13 	12 
A,FAC,DSP_L,DEF0	25 	18 	17 	17 	17 	17 	17 	13 	12 
A,FAC,DSP_L,DEG	28 	20 	20 	18 	18 	19 	18 	18 	17 
A,FAC,DSP_L,DEG0	28 	20 	20 	18 	18 	19 	18 	18 	17 
A,FAC,DSP_L,DK	: 	150 e	49 e	43 	41 	41 	43 	48 	40 b
A,FAC,DSP_L,DK0	: 	: 	: 	43 	41 	41 	43 	48 	40 b
A,FAC,DSP_L,DK01	: 	: 	10 	10 	9 	9 	8 	7 	7 b
A,FAC,DSP_L,DK02	: 	: 	8 	7 	7 	7 	9 	7 	7 b
A,FAC,DSP_L,DK03	: 	: 	11 	8 	7 	7 	9 	8 	8 b
A,FAC,DSP_L,DK04	: 	: 	9 	8 	8 	8 	9 	8 	7 b
A,FAC,DSP_L,DK05	: 	: 	11 	10 	10 	10 	8 	10 	9 b
A,FAC,DSP_L,EE	66 s	39 	28 	15 	15 	13 	: 	13 	13 
A,FAC,DSP_L,EE0	: 	: 	: 	15 	15 	13 	: 	13 	13 
A,FAC,DSP_L,EE00	: 	: 	: 	15 	15 	13 	: 	13 	13 
A,FAC,DSP_L,EL	: 	634 	720 	239 	178 	169 	: 	90 	90 e
A,FAC,DSP_L,EL1	: 	214 	260 	67 	53 	: 	: 	: 	: 
A,FAC,DSP_L,EL11	: 	41 	54 	12 	12 	: 	: 	: 	: 
A,FAC,DSP_L,EL12	: 	102 	125 	38 	27 	: 	: 	: 	: 
A,FAC,DSP_L,EL13	: 	: c	10 	7 	5 	: 	: 	: 	: 
A,FAC,DSP_L,EL14	: 	69 	71 	10 	9 	: 	: 	: 	: 
A,FAC,DSP_L,EL2	: 	294 	306 	105 	70 	: 	: 	: 	: 
A,FAC,DSP_L,EL21	: 	83 	59 	5 	4 	: 	: 	: 	: 
A,FAC,DSP_L,EL22	: 	16 	24 	10 	7 	: 	: 	: 	: 
A,FAC,DSP_L,EL23	: 	45 	55 	11 	13 	: 	: 	: 	: 
A,FAC,DSP_L,EL24	: 	64 	78 	23 	17 	: 	: 	: 	: 
A,FAC,DSP_L,EL25	: 	86 	90 	56 	29 	: 	: 	: 	: 
A,FAC,DSP_L,EL3	: 	24 	21 	8 	6 	6 	: 	2 	2 e
A,FAC,DSP_L,EL30	: 	24 	21 	8 	6 	6 	: 	2 	2 e
A,FAC,DSP_L,EL4	: 	102 	133 	59 	49 	53 	: 	30 	30 e
A,FAC,DSP_L,EL41	: 	25 	30 	13 	10 	9 	: 	6 	6 e
A,FAC,DSP_L,EL42	: 	52 	69 	35 	28 	33 	: 	17 	17 e
A,FAC,DSP_L,EL43	: 	25 	34 	11 	11 	11 	: 	7 	7 e
A,FAC,DSP_L,EL5	: 	: 	: 	: 	: 	38 	: 	25 	25 e
A,FAC,DSP_L,EL51	: 	: 	: 	: 	: 	11 	: 	4 	4 e
A,FAC,DSP_L,EL52	: 	: 	: 	: 	: 	18 	: 	11 	11 e
A,FAC,DSP_L,EL53	: 	: 	: 	: 	: 	5 	: 	6 	6 e
A,FAC,DSP_L,EL54	: 	: 	: 	: 	: 	4 	: 	4 	4 e
A,FAC,DSP_L,EL6	: 	: 	: 	: 	: 	72 	: 	32 	32 e
A,FAC,DSP_L,EL61	: 	: 	: 	: 	: 	9 	: 	8 	8 e
A,FAC,DSP_L,EL62	: 	: 	: 	: 	: 	7 	: 	1 	1 e
A,FAC,DSP_L,EL63	: 	: 	: 	: 	: 	13 	: 	10 	10 e
A,FAC,DSP_L,EL64	: 	: 	: 	: 	: 	17 	: 	8 	8 e
A,FAC,DSP_L,EL65	: 	: 	: 	: 	: 	26 	: 	5 	5 e
A,FAC,DSP_L,ES	462 	482 	439 	395 	520 	443 	468 e	438 e	396 e
A,FAC,DSP_L,ES1	: 	33 	35 	38 	36 	53 	: c	37 	39 
A,FAC,DSP_L,ES11	27 	25 	30 	32 	18 	19 	21 	20 	19 
A,FAC,DSP_L,ES12	4 	7 	: c	3 	15 	32 	14 	15 	16 
A,FAC,DSP_L,ES13	1 	1 	: c	3 	: c	2 	: c	2 	4 
A,FAC,DSP_L,ES2	: 	80 	43 	61 	142 	44 	41 	41 	42 
A,FAC,DSP_L,ES21	40 	28 	: 	21 	107 	8 	8 	8 	9 
A,FAC,DSP_L,ES22	15 	15 	15 	11 	12 	14 	10 	11 	11 
A,FAC,DSP_L,ES23	9 	6 	6 	6 	6 	5 	4 	4 	4 
A,FAC,DSP_L,ES24	25 	31 	22 	23 	17 	17 	19 	18 	18 
A,FAC,DSP_L,ES3	: 	10 	20 	10 	11 	11 	12 	13 	13 
A,FAC,DSP_L,ES30	5 	10 	20 	10 	11 	11 	12 	13 	13 
A,FAC,DSP_L,ES4	: 	47 	86 	45 	58 	58 	88 e	87 e	54 e
A,FAC,DSP_L,ES41	31 	31 e	58 	18 	18 	18 	41 e	46 e	46 e
A,FAC,DSP_L,ES42	8 	9 	21 	20 	33 	40 	40 	33 	0 
A,FAC,DSP_L,ES43	7 	7 	7 	7 	7 	0 	7 	8 	8 
A,FAC,DSP_L,ES5	: 	140 	142 	144 	152 	152 	153 e	128 e	126 
A,FAC,DSP_L,ES51	86 	89 	84 	94 	99 	97 	98 e	100 	101 
A,FAC,DSP_L,ES52	51 	49 	52 	44 	47 	49 	49 e	22 	25 
A,FAC,DSP_L,ES53	2 	2 	6 	6 	6 	6 	6 	6 e	0 
A,FAC,DSP_L,ES6	: 	168 	102 	: c	110 	116 	: c	122 e	114 e
A,FAC,DSP_L,ES61	135 	144 	92 	62 	84 	90 	96 e	93 	77 
A,FAC,DSP_L,ES62	10 	24 	10 	26 	26 	26 	31 	28 	36 
A,FAC,DSP_L,ES63	1 	0 	: 	0 	0 	0 	0 	0 	0 
A,FAC,DSP_L,ES64	0 	0 	: 	: c	0 	0 	: c	1 e	1 e
A,FAC,DSP_L,ES7	: 	4 	11 	7 	11 	9 	9 	10 	8 
A,FAC,DSP_L,ES70	5 	4 	11 	7 	11 	9 	9 	10 	8 
A,FAC,DSP_L,EU27_2020	: 	9204 	7600 	: c	5871 	5729 	4848 	5426 	6164 s
A,FAC,DSP_L,EU28	8292 	9925 	8161 	: c	6465 	6325 	5452 	6055 	: 
A,FAC,DSP_L,FI	269 	300 	: 	268 	227 	228 	: 	188 	: 
A,FAC,DSP_L,FI1	267 	299 	: 	265 	226 	226 	: 	124 	: 
A,FAC,DSP_L,FI13	56 	70 	: 	: 	: 	: 	: 	: 	: 
A,FAC,DSP_L,FI18	100 	133 	: 	: 	: 	: 	: 	: 	: 
A,FAC,DSP_L,FI19	66 	51 	: 	88 	48 	48 	: 	33 	: 
A,FAC,DSP_L,FI1A	45 	45 	: 	: 	: 	: 	: 	: 	: 
A,FAC,DSP_L,FI1B	: 	: 	: 	27 	11 	11 	: 	20 	: 
A,FAC,DSP_L,FI1C	: 	: 	: 	46 	54 	54 	: 	30 	: 
A,FAC,DSP_L,FI1D	: 	: 	: 	104 	113 	113 	: 	41 	: 
A,FAC,DSP_L,FI2	2 	1 	0 	3 	1 	2 	: 	1 	: 
A,FAC,DSP_L,FI20	2 	1 	0 	3 	1 	2 	: 	1 	: 
A,FAC,DSP_L,FR	317 s	769 	301 	267 	918 e	1254 e	1391 	1414 	1477 
A,FAC,DSP_L,FR1	13 s	56 	15 	12 	28 e	29 	36 	33 	36 
A,FAC,DSP_L,FR10	13 s	56 	15 	12 	28 e	29 	36 	33 	36 
A,FAC,DSP_L,FR2	73 s	174 	76 	68 	169 e	231 	: 	: 	: 
A,FAC,DSP_L,FR21	7 s	23 	7 	7 	10 e	38 	: 	: 	: 
A,FAC,DSP_L,FR22	17 s	37 	14 	15 	31 e	38 	: 	: 	: 
A,FAC,DSP_L,FR23	5 s	34 	13 	8 	13 e	19 	: 	: 	: 
A,FAC,DSP_L,FR24	19 s	40 	16 	16 	34 e	40 	: 	: 	: 
A,FAC,DSP_L,FR25	9 s	21 	10 	10 	34 e	35 	: 	: 	: 
A,FAC,DSP_L,FR26	16 s	19 	16 	12 	47 e	61 	: 	: 	: 
A,FAC,DSP_L,FR3	10 s	32 	12 	10 	27 e	13 	: 	: 	: 
A,FAC,DSP_L,FR30	10 s	32 	12 	: 	: 	: 	: 	: 	: 
A,FAC,DSP_L,FR4	22 s	99 	42 	23 	91 e	129 	: 	: 	: 
A,FAC,DSP_L,FR41	11 s	55 	26 	12 	45 e	58 	: 	: 	: 
A,FAC,DSP_L,FR42	7 s	28 	10 	5 	12 e	19 	: 	: 	: 
A,FAC,DSP_L,FR43	4 s	16 	6 	6 	34 e	52 	: 	: 	: 
A,FAC,DSP_L,FR5	47 s	80 	42 	44 	212 e	269 	: 	: 	: 
A,FAC,DSP_L,FR51	25 s	32 	24 	25 	55 e	94 	: 	: 	: 
A,FAC,DSP_L,FR52	11 s	31 	8 	8 	109 e	120 	: 	: 	: 
A,FAC,DSP_L,FR53	11 s	17 	10 	11 	48 e	55 	: 	: 	: 
A,FAC,DSP_L,FR6	54 s	137 	35 	32 	132 e	224 	: 	: 	: 
A,FAC,DSP_L,FR61	23 s	41 	13 	13 	33 e	62 	: 	: 	: 
A,FAC,DSP_L,FR62	23 s	75 	18 	15 	71 e	125 	: 	: 	: 
A,FAC,DSP_L,FR63	8 s	21 	4 	4 	28 e	37 	: 	: 	: 
A,FAC,DSP_L,FR7	49 s	95 	32 	33 	131 e	193 	: 	: 	: 
A,FAC,DSP_L,FR71	28 s	65 	18 	19 	94 e	125 	: 	: 	: 
A,FAC,DSP_L,FR72	21 s	30 	14 	14 	37 e	68 	: 	: 	: 
A,FAC,DSP_L,FR8	39 s	69 	36 	35 	112 e	143 	: 	: 	: 
A,FAC,DSP_L,FR81	13 s	21 	14 	14 	39 e	61 	: 	: 	: 
A,FAC,DSP_L,FR82	22 s	43 	18 	17 	69 e	78 	: 	: 	: 
A,FAC,DSP_L,FR83	4 s	5 	4 	4 	4 e	4 	: 	: 	: 
A,FAC,DSP_L,FR9	10 s	27 	11 	10 	16 e	: 	: 	: 	: 
A,FAC,DSP_L,FR91	: 	: 	3 	2 	4 e	: 	: 	: 	: 
A,FAC,DSP_L,FR92	: 	: 	3 	3 	2 e	: 	: 	: 	: 
A,FAC,DSP_L,FR93	: 	: 	3 	3 	4 e	: 	: 	: 	: 
A,FAC,DSP_L,FR94	: 	: 	2 	2 	6 e	: 	: 	: 	: 
A,FAC,DSP_L,FRA	: 	: 	: 	11 	16 	23 e	: 	: 	: 
A,FAC,DSP_L,FRA1	: 	: 	: 	2 	: 	7 	: 	: 	: 
A,FAC,DSP_L,FRA2	: 	: 	: 	3 	2 	3 	: 	: 	: 
A,FAC,DSP_L,FRA3	: 	: 	: 	3 	4 	7 	: 	: 	: 
A,FAC,DSP_L,FRA4	: 	: 	: 	2 	6 	4 	: 	: 	: 
A,FAC,DSP_L,FRA5	: 	: 	: 	1 	: 	2 	: 	: 	: 
A,FAC,DSP_L,FRB	: 	: 	: 	: 	: 	: 	44 	45 	51 
A,FAC,DSP_L,FRB0	: 	: 	: 	: 	: 	: 	44 	45 	51 
A,FAC,DSP_L,FRC	: 	: 	: 	: 	: 	: 	136 	139 	134 
A,FAC,DSP_L,FRC1	: 	: 	: 	: 	: 	: 	78 	82 	78 
A,FAC,DSP_L,FRC2	: 	: 	: 	: 	: 	: 	58 	57 	56 
A,FAC,DSP_L,FRD	: 	: 	: 	: 	: 	: 	62 	72 	76 
A,FAC,DSP_L,FRD1	: 	: 	: 	: 	: 	: 	39 	40 	40 
A,FAC,DSP_L,FRD2	: 	: 	: 	: 	: 	: 	23 	32 	36 
A,FAC,DSP_L,FRE	: 	: 	: 	: 	: 	: 	90 	90 	84 
A,FAC,DSP_L,FRE1	: 	: 	: 	: 	: 	: 	35 	33 	34 
A,FAC,DSP_L,FRE2	: 	: 	: 	: 	: 	: 	55 	57 	50 
A,FAC,DSP_L,FRF	: 	: 	: 	: 	: 	: 	122 	131 	150 
A,FAC,DSP_L,FRF1	: 	: 	: 	: 	: 	: 	20 	24 	39 
A,FAC,DSP_L,FRF2	: 	: 	: 	: 	: 	: 	41 	43 	42 
A,FAC,DSP_L,FRF3	: 	: 	: 	: 	: 	: 	61 	64 	69 
A,FAC,DSP_L,FRG	: 	: 	: 	: 	: 	: 	78 	79 	79 
A,FAC,DSP_L,FRG0	: 	: 	: 	: 	: 	: 	78 	79 	79 
A,FAC,DSP_L,FRH	: 	: 	: 	: 	: 	: 	129 	129 	133 
A,FAC,DSP_L,FRH0	: 	: 	: 	: 	: 	: 	129 	129 	133 
A,FAC,DSP_L,FRI	: 	: 	: 	: 	: 	: 	166 	165 	171 
A,FAC,DSP_L,FRI1	: 	: 	: 	: 	: 	: 	68 	68 	77 
A,FAC,DSP_L,FRI2	: 	: 	: 	: 	: 	: 	35 	31 	29 
A,FAC,DSP_L,FRI3	: 	: 	: 	: 	: 	: 	63 	66 	65 
A,FAC,DSP_L,FRJ	: 	: 	: 	: 	: 	: 	190 	184 	184 
A,FAC,DSP_L,FRJ1	: 	: 	: 	: 	: 	: 	65 	66 	70 
A,FAC,DSP_L,FRJ2	: 	: 	: 	: 	: 	: 	125 	118 	114 
A,FAC,DSP_L,FRK	: 	: 	: 	: 	: 	: 	194 	190 	188 
A,FAC,DSP_L,FRK1	: 	: 	: 	: 	: 	: 	74 	71 	75 
A,FAC,DSP_L,FRK2	: 	: 	: 	: 	: 	: 	120 	119 	113 
A,FAC,DSP_L,FRL	: 	: 	: 	: 	: 	: 	104 	105 	136 
A,FAC,DSP_L,FRL0	: 	: 	: 	: 	: 	: 	104 	105 	136 
A,FAC,DSP_L,FRM	: 	: 	: 	: 	: 	: 	4 	4 	6 
A,FAC,DSP_L,FRM0	: 	: 	: 	: 	: 	: 	4 	4 	6 
A,FAC,DSP_L,FRY	: 	: 	: 	: 	: 	: 	36 	48 	49 
A,FAC,DSP_L,FRY1	: 	: 	: 	: 	: 	: 	6 	5 	5 
A,FAC,DSP_L,FRY2	: 	: 	: 	: 	: 	: 	1 	1 	2 
A,FAC,DSP_L,FRY3	: 	: 	: 	: 	: 	: 	4 	6 	4 
A,FAC,DSP_L,FRY4	: 	: 	: 	: 	: 	: 	23 	32 	34 
A,FAC,DSP_L,FRY5	: 	: 	: 	: 	: 	: 	2 	4 	4 
A,FAC,DSP_L,HR	146 	407 	: 	: c	146 	142 	141 	127 	93 
A,FAC,DSP_L,HR0	: 	: 	: 	: c	146 	142 	141 	127 	93 
A,FAC,DSP_L,HR01	: 	: 	: 	: c	32 	: 	: 	: 	: 
A,FAC,DSP_L,HR02	: 	: 	: 	: c	46 	: 	: 	: 	31 
A,FAC,DSP_L,HR03	: 	: 	: 	: c	68 	69 	70 	66 	44 
A,FAC,DSP_L,HR04	: 	: 	: 	: 	: 	73 	71 	61 	49 
A,FAC,DSP_L,HR05	: 	: 	: 	: 	: 	: 	: 	: 	2 
A,FAC,DSP_L,HR06	: 	: 	: 	: 	: 	: 	: 	: 	16 
A,FAC,DSP_L,HU	321 	204 	198 	112 	111 	109 	105 	105 	: 
A,FAC,DSP_L,HU1	29 	26 	23 	14 	15 	14 	14 	13 	: 
A,FAC,DSP_L,HU10	29 	26 	23 	: 	: 	: 	: 	: 	: 
A,FAC,DSP_L,HU11	: 	: 	: 	: 	: 	: 	0 	0 	: 
A,FAC,DSP_L,HU12	: 	: 	: 	: 	: 	: 	14 	13 	: 
A,FAC,DSP_L,HU2	87 	81 	79 	53 	51 	50 	46 	47 	: 
A,FAC,DSP_L,HU21	27 	28 	29 	18 	16 	16 	14 	14 	: 
A,FAC,DSP_L,HU22	19 	20 	19 	17 	17 	17 	14 	15 	: 
A,FAC,DSP_L,HU23	41 	33 	31 	18 	18 	17 	18 	18 	: 
A,FAC,DSP_L,HU3	205 	97 	96 	45 	45 	42 	45 	45 	: 
A,FAC,DSP_L,HU31	38 	32 	31 	17 	17 	15 	18 	18 	: 
A,FAC,DSP_L,HU32	73 	36 	36 	17 	17 	17 	17 	17 	: 
A,FAC,DSP_L,HU33	94 	29 	29 	11 	11 	10 	10 	10 	: 
A,FAC,DSP_L,IE	67 	69 	66 	99 	35 	19 	20 	17 	: 
A,FAC,DSP_L,IE0	: 	: 	: 	99 	35 	19 	20 	17 	: 
A,FAC,DSP_L,IE01	: 	25 	23 	40 	17 	7 	: 	: 	: 
A,FAC,DSP_L,IE02	: 	44 	43 	59 	18 	12 	: 	: 	: 
A,FAC,DSP_L,IE04	: 	: 	: 	: 	: 	: 	4 	2 	: 
A,FAC,DSP_L,IE05	: 	: 	: 	: 	: 	: 	5 	5 	: 
A,FAC,DSP_L,IE06	: 	: 	: 	: 	: 	: 	11 	10 	: 
A,FAC,DSP_L,IS	45 	: 	28 	: 	: 	: 	: 	: 	: 
A,FAC,DSP_L,IT	: 	557 	640 	534 	470 	437 	385 	344 	318 
A,FAC,DSP_L,ITC	: 	174 	162 	140 	126 	122 	111 	96 	91 
A,FAC,DSP_L,ITC1	: 	61 	49 	42 	38 	38 	35 	26 	23 
A,FAC,DSP_L,ITC2	: 	44 	42 	36 	38 	38 	36 	35 	32 
A,FAC,DSP_L,ITC3	: 	14 	27 	22 	16 	14 	11 	11 	11 
A,FAC,DSP_L,ITC4	: 	55 	44 	40 	34 	32 	29 	24 	25 
A,FAC,DSP_L,ITD	: 	216 	196 	: 	: 	: 	: 	: 	: 
A,FAC,DSP_L,ITD5	: 	15 	32 	: 	: 	: 	: 	: 	: 
A,FAC,DSP_L,ITE	: 	55 	86 	: 	: 	: 	: 	: 	: 
A,FAC,DSP_L,ITE3	: 	2 	18 	: 	: 	: 	: 	: 	: 
A,FAC,DSP_L,ITF	: 	57 	116 	96 	77 	66 	57 	50 	52 
A,FAC,DSP_L,ITF1	: 	8 	24 	16 	14 	10 	10 	9 	9 
A,FAC,DSP_L,ITF2	: 	2 	8 	5 	4 	4 	4 	4 	4 
A,FAC,DSP_L,ITF3	: 	4 	3 	5 	3 	2 	2 	2 	2 
A,FAC,DSP_L,ITF4	: 	29 	38 	36 	30 	30 	26 	21 	20 
A,FAC,DSP_L,ITF5	: 	9 	26 	18 	16 	13 	11 	9 	10 
A,FAC,DSP_L,ITF6	: 	5 	17 	16 	10 	7 	4 	5 	7 
A,FAC,DSP_L,ITG	: 	55 	80 	73 	71 	66 	61 	61 	54 
A,FAC,DSP_L,ITG1	: 	14 	30 	28 	25 	22 	20 	19 	17 
A,FAC,DSP_L,ITG2	: 	41 	50 	45 	46 	44 	41 	42 	37 
A,FAC,DSP_L,ITH	: 	: 	: 	145 	125 	116 	100 	88 	72 
A,FAC,DSP_L,ITH1	: 	7 	9 	8 	7 	7 	5 	5 	4 
A,FAC,DSP_L,ITH2	: 	76 	52 	47 	33 	33 	25 	19 	16 
A,FAC,DSP_L,ITH3	: 	76 	71 	54 	47 	42 	42 	40 	31 
A,FAC,DSP_L,ITH4	: 	42 	32 	13 	11 	11 	12 	10 	11 
A,FAC,DSP_L,ITH5	: 	: 	: 	23 	27 	23 	16 	14 	10 
A,FAC,DSP_L,ITI	: 	: 	: 	80 	71 	67 	56 	49 	49 
A,FAC,DSP_L,ITI1	: 	22 	24 	27 	22 	22 	17 	17 	16 
A,FAC,DSP_L,ITI2	: 	4 	8 	8 	9 	7 	7 	5 	6 
A,FAC,DSP_L,ITI3	: 	: 	: 	16 	14 	13 	11 	10 	10 
A,FAC,DSP_L,ITI4	: 	27 	36 	29 	26 	25 	21 	17 	17 
A,FAC,DSP_L,LT	291 	206 	61 	14 	14 	22 	25 	24 	24 
A,FAC,DSP_L,LT0	: 	: 	: 	14 	14 	22 	25 	24 	24 
A,FAC,DSP_L,LT01	: 	: 	: 	: 	: 	3 	3 	3 	3 
A,FAC,DSP_L,LT02	: 	: 	: 	: 	: 	19 	22 	21 	21 
A,FAC,DSP_L,LU	: 	11 	12 	13 	13 	13 	10 	10 	10 
A,FAC,DSP_L,LU0	: 	: 	: 	13 	13 	13 	10 	10 	10 
A,FAC,DSP_L,LU00	: 	: 	: 	13 	13 	13 	10 	10 	10 
A,FAC,DSP_L,LV	151 	103 	64 	13 	13 	13 	13 	12 	11 
A,FAC,DSP_L,LV0	: 	: 	: 	13 	13 	13 	13 	12 	11 
A,FAC,DSP_L,LV00	: 	: 	: 	13 	13 	13 	13 	12 	11 
A,FAC,DSP_L,ME	: 	: 	: 	: 	: 	: 	2 	2 	: 
A,FAC,DSP_L,MT	8 	12 	10 	9 	1 	1 	2 	1 	1 
A,FAC,DSP_L,MT0	: 	: 	: 	9 	1 	1 	2 	1 	1 
A,FAC,DSP_L,MT00	: 	: 	: 	9 	1 	1 	2 	1 	1 
A,FAC,DSP_L,NL	42 	40 	41 	38 	40 	39 	38 	38 	57 
A,FAC,DSP_L,NL1	5 	7 	7 	7 	7 	7 	7 	7 	10 
A,FAC,DSP_L,NL11	2 	2 	2 	2 	2 	2 	2 	2 	6 
A,FAC,DSP_L,NL12	2 	4 	4 	4 	4 	4 	4 	4 	3 
A,FAC,DSP_L,NL13	1 	1 	1 	1 	1 	1 	1 	1 	1 
A,FAC,DSP_L,NL2	13 	13 	12 	12 	12 	11 	11 	11 	18 
A,FAC,DSP_L,NL21	2 	2 	3 	3 	3 	3 	3 	3 	6 
A,FAC,DSP_L,NL22	9 	8 	7 	7 	7 	6 	6 	6 	9 
A,FAC,DSP_L,NL23	2 	3 	2 	2 	2 	2 	2 	2 	3 
A,FAC,DSP_L,NL3	16 	15 	18 	16 	16 	16 	15 	15 	11 
A,FAC,DSP_L,NL31	1 	1 	2 	1 	1 	1 	1 	1 	1 
A,FAC,DSP_L,NL32	6 	7 	7 	7 	7 	7 	7 	7 	6 
A,FAC,DSP_L,NL33	6 	5 	6 	6 	6 	6 	5 	5 	2 
A,FAC,DSP_L,NL34	3 	2 	3 	2 	2 	2 	2 	2 	2 
A,FAC,DSP_L,NL4	8 	5 	4 	3 	5 	5 	5 	5 	17 
A,FAC,DSP_L,NL41	5 	3 	2 	2 	3 	3 	3 	3 	8 
A,FAC,DSP_L,NL42	3 	2 	2 	1 	2 	2 	2 	2 	9 
A,FAC,DSP_L,NO	124 	83 	95 	99 	111 	112 	111 	113 	129 
A,FAC,DSP_L,NO0	: 	: 	: 	99 	111 	112 	111 	113 	129 
A,FAC,DSP_L,NO01	9 	6 	6 	4 	4 	5 	7 	11 	: 
A,FAC,DSP_L,NO02	7 	6 	10 	11 	12 	11 	11 	10 	10 
A,FAC,DSP_L,NO03	34 	19 	23 	23 	25 	26 	25 	25 	: 
A,FAC,DSP_L,NO04	21 	17 	18 	17 	19 	18 	19 	18 	: 
A,FAC,DSP_L,NO05	23 	18 	14 	15 	17 	17 	16 	16 	: 
A,FAC,DSP_L,NO06	11 	6 	11 	13 	16 	16 	16 	17 	31 
A,FAC,DSP_L,NO07	19 	11 	13 	16 	18 	19 	17 	16 	17 
A,FAC,DSP_L,NO08	: 	: 	: 	: 	: 	: 	: 	: 	23 
A,FAC,DSP_L,NO09	: 	: 	: 	: 	: 	: 	: 	: 	24 
A,FAC,DSP_L,NO0A	: 	: 	: 	: 	: 	: 	: 	: 	24 
A,FAC,DSP_L,NO0B	: 	: 	: 	: 	: 	: 	: 	: 	0 
A,FAC,DSP_L,PL	1445 	1157 	1060 	666 	701 	532 	9 	541 	449 
A,FAC,DSP_L,PL1	215 	194 	138 	4 	2 	2 	: 	: 	: 
A,FAC,DSP_L,PL11	78 	66 	47 	0 	0 	0 	: 	: 	: 
A,FAC,DSP_L,PL12	137 	128 	91 	4 	2 	2 	: 	: 	: 
A,FAC,DSP_L,PL2	114 	141 	120 	0 	0 	1 	1 	113 	69 
A,FAC,DSP_L,PL21	60 	65 	60 	0 	0 	1 	1 	58 	34 
A,FAC,DSP_L,PL22	54 	76 	60 	0 	0 	0 	0 	55 	35 
A,FAC,DSP_L,PL3	366 	244 	261 	1 	1 	4 	: 	: 	: 
A,FAC,DSP_L,PL31	145 	119 	116 	1 	1 	4 	: 	: 	: 
A,FAC,DSP_L,PL32	67 	52 	37 	0 	0 	0 	: 	: 	: 
A,FAC,DSP_L,PL33	38 	39 	26 	0 	0 	0 	: 	: 	: 
A,FAC,DSP_L,PL34	116 	34 	82 	0 	0 	0 	: 	: 	: 
A,FAC,DSP_L,PL4	292 	205 	183 	1 	4 	0 	0 	: b	72 
A,FAC,DSP_L,PL41	180 	107 	107 	0 	2 	0 	0 	31 	32 
A,FAC,DSP_L,PL42	70 	58 	46 	1 	1 	0 	0 	118 	18 
A,FAC,DSP_L,PL43	42 	40 	30 	0 	1 	0 	0 	: b	22 
A,FAC,DSP_L,PL5	210 	112 	147 	5 	2 	1 	1 	57 	86 
A,FAC,DSP_L,PL51	160 	65 	112 	5 	2 	1 	1 	34 	54 
A,FAC,DSP_L,PL52	50 	47 	35 	0 	0 	0 	0 	23 	32 
A,FAC,DSP_L,PL6	248 	261 	211 	1 	3 	2 	1 	69 	81 
A,FAC,DSP_L,PL61	98 	115 	100 	0 	1 	0 	0 	33 	37 
A,FAC,DSP_L,PL62	81 	82 	57 	1 	2 	2 	1 	11 	19 
A,FAC,DSP_L,PL63	69 	64 	54 	0 	0 	0 	0 	25 	25 
A,FAC,DSP_L,PL7	: 	: 	: 	: 	: 	: 	0 	48 	48 
A,FAC,DSP_L,PL71	: 	: 	: 	: 	: 	: 	0 	33 	31 
A,FAC,DSP_L,PL72	: 	: 	: 	: 	: 	: 	0 	15 	17 
A,FAC,DSP_L,PL8	: 	: 	: 	: 	: 	: 	4 	77 	63 
A,FAC,DSP_L,PL81	: 	: 	: 	: 	: 	: 	4 	34 	25 
A,FAC,DSP_L,PL82	: 	: 	: 	: 	: 	: 	0 	26 	19 
A,FAC,DSP_L,PL84	: 	: 	: 	: 	: 	: 	0 	17 	19 
A,FAC,DSP_L,PL9	: 	: 	: 	: 	: 	: 	2 	28 	30 
A,FAC,DSP_L,PL91	: 	: 	: 	: 	: 	: 	1 	: b	8 
A,FAC,DSP_L,PL92	: 	: 	: 	: 	: 	: 	1 	: b	22 
A,FAC,DSP_L,PT	35 	38 	39 	47 	60 	70 	55 	52 	45 
A,FAC,DSP_L,PT1	33 	38 	39 	47 	52 	50 	34 	39 	38 
A,FAC,DSP_L,PT11	: 	11 	12 	16 	17 	18 	13 	18 	8 
A,FAC,DSP_L,PT15	5 	2 	9 	2 	2 	2 	2 	2 	2 
A,FAC,DSP_L,PT16	: 	9 	10 	9 	11 	12 	7 	7 	7 
A,FAC,DSP_L,PT17	: 	10 	6 	12 	13 	6 	4 	4 	10 
A,FAC,DSP_L,PT18	: 	6 	2 	8 	9 	12 	8 	8 	11 
