freq,wst_oper,material,unit,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,DSP_OTH,MF5,T_HAB,MT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF5,T_HAB,NL	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF5,T_HAB,PL	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF5,T_HAB,PT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF5,T_HAB,RO	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF5,T_HAB,SE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF5,T_HAB,SI	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF5,T_HAB,SK	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,THS_T,AT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,THS_T,BE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,THS_T,BG	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,THS_T,CY	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,THS_T,CZ	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,THS_T,DE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,THS_T,DK	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,THS_T,EE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,THS_T,EL	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,THS_T,ES	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,THS_T,EU27_2020	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,THS_T,FI	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,THS_T,FR	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,THS_T,HR	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,THS_T,HU	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,THS_T,IE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,THS_T,IT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,THS_T,LT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,THS_T,LU	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,THS_T,LV	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,THS_T,MT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,THS_T,NL	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,THS_T,PL	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,THS_T,PT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,THS_T,RO	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,THS_T,SE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,THS_T,SI	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,THS_T,SK	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,T_HAB,AT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,T_HAB,BE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,T_HAB,BG	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,T_HAB,CY	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,T_HAB,CZ	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,T_HAB,DE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,T_HAB,DK	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,T_HAB,EE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,T_HAB,EL	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,T_HAB,ES	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,T_HAB,EU27_2020	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,T_HAB,FI	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,T_HAB,FR	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,T_HAB,HR	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,T_HAB,HU	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,T_HAB,IE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,T_HAB,IT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,T_HAB,LT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,T_HAB,LU	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,T_HAB,LV	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,T_HAB,MT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,T_HAB,NL	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,T_HAB,PL	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,T_HAB,PT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,T_HAB,RO	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,T_HAB,SE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,T_HAB,SI	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,MF6,T_HAB,SK	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,TOTAL,THS_T,AT	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 s
A,DSP_OTH,TOTAL,THS_T,BE	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 s
A,DSP_OTH,TOTAL,THS_T,BG	2713 	1453 s	193 	301 s	409 	6755 s	13100 	13188 s	13277 	20702 s	28127 	24498 s	27069 s
A,DSP_OTH,TOTAL,THS_T,CY	1 	1 s	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 s
A,DSP_OTH,TOTAL,THS_T,CZ	118 	79 s	40 	28 s	16 	10 s	4 	2 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,TOTAL,THS_T,DE	28 	22 s	16 	34 s	49 	39 s	28 	29 s	29 	27 s	24 	32 s	32 s
A,DSP_OTH,TOTAL,THS_T,DK	0 	41 s	81 	84 s	88 	88 s	88 	45 s	1 	1 s	1 	21 s	17 s
A,DSP_OTH,TOTAL,THS_T,EE	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 s
A,DSP_OTH,TOTAL,THS_T,EL	1534 	1738 s	1942 	1775 s	1608 	1586 s	1564 	1522 s	1480 	882 s	285 p	891 s	823 s
A,DSP_OTH,TOTAL,THS_T,ES	36 	223 s	410 	215 s	20 	12 s	4 	5 s	6 	9 s	12 	3 s	1 s
A,DSP_OTH,TOTAL,THS_T,EU27_2020	47546 	50635 s	53724 	56640 s	59554 	65099 s	70644 	69748 s	68852 s	90697 s	112541 s	99186 s	104504 s
A,DSP_OTH,TOTAL,THS_T,FI	311 	262 s	214 	299 s	385 	207 s	30 	602 s	1174 	12527 s	23880 	12902 s	14449 s
A,DSP_OTH,TOTAL,THS_T,FR	642 	729 s	816 	806 s	795 	753 s	711 	720 s	728 	643 s	558 	648 s	638 s
A,DSP_OTH,TOTAL,THS_T,HR	418 	212 s	6 b	11 s	16 	12 s	8 	8 s	9 	9 s	8 	0 s	0 s
A,DSP_OTH,TOTAL,THS_T,HU	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 s
A,DSP_OTH,TOTAL,THS_T,IE	2067 	2010 s	1954 	1918 s	1881 	1668 s	1456 	1313 s	1170 	1221 s	1273 	1024 s	923 s
A,DSP_OTH,TOTAL,THS_T,IT	0 	1 s	1 	1 s	0 	0 s	0 	2 s	3 	2 s	0 	2 s	2 s
A,DSP_OTH,TOTAL,THS_T,LT	75 	48 s	22 	16 s	10 	12 s	14 	13 s	12 	12 s	12 	12 s	13 s
A,DSP_OTH,TOTAL,THS_T,LU	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 s
A,DSP_OTH,TOTAL,THS_T,LV	8 	28 s	49 	25 s	0 	0 s	0 	8 s	15 	13 s	10 	6 s	5 s
A,DSP_OTH,TOTAL,THS_T,MT	34 	17 s	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 s
A,DSP_OTH,TOTAL,THS_T,NL	23 	29 s	35 	41 s	47 	58 s	70 	76 s	82 	82 s	81 	98 s	105 s
A,DSP_OTH,TOTAL,THS_T,PL	151 	137 s	123 	104 s	85 	50 s	14 	7 s	0 	0 s	0 	0 s	0 s
A,DSP_OTH,TOTAL,THS_T,PT	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 s
A,DSP_OTH,TOTAL,THS_T,RO	2540 	2703 s	2866 	2890 s	2913 	3047 s	3182 	3240 s	3299 	3152 s	3006 	3386 s	3458 s
A,DSP_OTH,TOTAL,THS_T,SE	36781 	40820 s	44859 	48023 s	51188 	50762 s	50335 	48928 s	47520 	51388 s	55257 	55639 s	56944 s
A,DSP_OTH,TOTAL,THS_T,SI	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 s
A,DSP_OTH,TOTAL,THS_T,SK	64 	80 s	96 	70 s	44 	40 s	35 	42 s	48 	28 s	7 	24 s	24 s
A,DSP_OTH,TOTAL,T_HAB,AT	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 s
A,DSP_OTH,TOTAL,T_HAB,BE	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 s
A,DSP_OTH,TOTAL,T_HAB,BG	0.367 	0.198 s	0.026 	0.041 s	0.057 	0.941 s	1.838 	1.864 s	1.89 	2.968 s	4.056 	3.562 s	4.187 s
A,DSP_OTH,TOTAL,T_HAB,CY	0.001 	0.001 s	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 s
A,DSP_OTH,TOTAL,T_HAB,CZ	0.011 	0.008 s	0.004 	0.003 s	0.002 	0.001 s	0 	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_OTH,TOTAL,T_HAB,DE	0 	0 s	0 	0 s	0.001 	0 s	0 	0 s	0 	0 s	0 	0 s	0 s
A,DSP_OTH,TOTAL,T_HAB,DK	0 	0.007 s	0.015 	0.015 s	0.016 	0.015 s	0.015 	0.008 s	0 	0 s	0 	0.004 s	0.003 s
A,DSP_OTH,TOTAL,T_HAB,EE	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 s
A,DSP_OTH,TOTAL,T_HAB,EL	0.138 	0.157 s	0.176 	0.162 s	0.148 	0.147 s	0.145 	0.142 s	0.138 	0.082 s	0.027 p	0.084 s	0.079 s
A,DSP_OTH,TOTAL,T_HAB,ES	0.001 	0.005 s	0.009 	0.005 s	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 s
A,DSP_OTH,TOTAL,T_HAB,EU27_2020	0.108 	0.115 s	0.122 	0.128 s	0.134 	0.147 s	0.159 	0.156 s	0.154 s	0.203 s	0.252 s	0.222 s	0.234 s
A,DSP_OTH,TOTAL,T_HAB,FI	0.058 	0.049 s	0.039 	0.055 s	0.07 	0.038 s	0.005 	0.109 s	0.213 	2.269 s	4.319 	2.328 s	2.601 s
A,DSP_OTH,TOTAL,T_HAB,FR	0.01 	0.011 s	0.012 	0.012 s	0.012 	0.011 s	0.011 	0.011 s	0.011 	0.01 s	0.008 	0.01 s	0.009 s
A,DSP_OTH,TOTAL,T_HAB,HR	0.097 	0.05 s	0.001 b	0.003 s	0.004 	0.003 s	0.002 	0.002 s	0.002 	0.002 s	0.002 	0 s	0 s
A,DSP_OTH,TOTAL,T_HAB,HU	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 s
A,DSP_OTH,TOTAL,T_HAB,IE	0.453 	0.439 s	0.425 	0.415 s	0.404 	0.355 s	0.306 	0.273 s	0.24 	0.248 s	0.255 	0.203 s	0.18 s
A,DSP_OTH,TOTAL,T_HAB,IT	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 s
A,DSP_OTH,TOTAL,T_HAB,LT	0.024 	0.016 s	0.007 	0.005 s	0.004 	0.004 s	0.005 	0.005 s	0.004 	0.004 s	0.004 	0.004 s	0.004 s
A,DSP_OTH,TOTAL,T_HAB,LU	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 s
A,DSP_OTH,TOTAL,T_HAB,LV	0.004 	0.014 s	0.024 	0.012 s	0 	0 s	0 	0.004 s	0.008 	0.007 s	0.006 	0.003 s	0.003 s
A,DSP_OTH,TOTAL,T_HAB,MT	0.083 	0.041 s	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 s
A,DSP_OTH,TOTAL,T_HAB,NL	0.001 	0.002 s	0.002 	0.002 s	0.003 	0.003 s	0.004 	0.004 s	0.005 	0.005 s	0.005 	0.006 s	0.006 s
A,DSP_OTH,TOTAL,T_HAB,PL	0.004 	0.004 s	0.003 	0.003 s	0.002 	0.001 s	0 	0 s	0 	0 s	0 	0 s	0 s
A,DSP_OTH,TOTAL,T_HAB,PT	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 s
A,DSP_OTH,TOTAL,T_HAB,RO	0.125 	0.134 s	0.143 	0.145 s	0.146 	0.154 s	0.162 	0.165 s	0.169 	0.163 s	0.156 	0.177 s	0.182 s
A,DSP_OTH,TOTAL,T_HAB,SE	3.922 	4.32 s	4.712 	5.002 s	5.279 	5.18 s	5.073 	4.865 s	4.67 	4.999 s	5.337 	5.342 s	5.43 s
A,DSP_OTH,TOTAL,T_HAB,SI	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 s
A,DSP_OTH,TOTAL,T_HAB,SK	0.012 	0.015 s	0.018 	0.013 s	0.008 	0.007 s	0.006 	0.008 s	0.009 	0.005 s	0.001 	0.004 s	0.004 s
A,RCV_B,MF1,THS_T,AT	0 s	0 s	0 s	6 s	13 s	7 s	2 s	4 s	6 s	7 s	7 s	8 s	9 s
A,RCV_B,MF1,THS_T,BE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	13 s	27 s	14 s	15 s
A,RCV_B,MF1,THS_T,BG	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_B,MF1,THS_T,CY	0 s	5 s	11 s	5 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_B,MF1,THS_T,CZ	115 s	111 s	107 s	121 s	136 s	127 s	119 s	105 s	91 s	79 s	66 s	86 s	86 s
A,RCV_B,MF1,THS_T,DE	124 s	117 s	110 s	112 s	110 s	116 s	122 s	122 s	122 s	120 s	119 s	121 s	122 s
A,RCV_B,MF1,THS_T,DK	0 s	0 s	0 s	0 s	0 s	0 s	0 s	20 s	41 s	39 s	36 s	40 s	44 s
A,RCV_B,MF1,THS_T,EE	1 s	2 s	3 s	2 s	2 s	6 s	10 s	8 s	5 s	5 s	5 s	8 s	9 s
A,RCV_B,MF1,THS_T,EL	1 s	2 s	3 s	3 s	3 s	12 s	21 s	15 s	9 s	4 s	0 s	10 s	11 s
A,RCV_B,MF1,THS_T,ES	33 s	44 s	54 s	30 s	6 s	8 s	10 s	8 s	6 s	4 s	2 s	0 s	0 s
A,RCV_B,MF1,THS_T,EU27_2020	523 s	529 s	535 s	485 s	432 s	446 s	460 s	455 s	450 s	472 s	494 s	498 s	516 s
A,RCV_B,MF1,THS_T,FI	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	1 s	1 s	1 s	1 s
A,RCV_B,MF1,THS_T,FR	61 s	60 s	58 s	56 s	53 s	53 s	52 s	54 s	56 s	53 s	49 s	50 s	49 s
A,RCV_B,MF1,THS_T,HR	0 s	0 s	0 s	0 s	0 s	1 s	2 s	1 s	1 s	1 s	1 s	2 s	2 s
A,RCV_B,MF1,THS_T,HU	2 s	2 s	2 s	3 s	4 s	3 s	3 s	3 s	3 s	25 s	48 s	26 s	29 s
A,RCV_B,MF1,THS_T,IE	49 s	52 s	55 s	56 s	58 s	63 s	68 s	56 s	43 s	25 s	7 s	31 s	29 s
A,RCV_B,MF1,THS_T,IT	4 s	3 s	2 s	3 s	4 s	3 s	2 s	2 s	2 s	3 s	4 s	2 s	2 s
A,RCV_B,MF1,THS_T,LT	0 s	0 s	1 s	1 s	1 s	2 s	2 s	2 s	2 s	2 s	1 s	2 s	2 s
A,RCV_B,MF1,THS_T,LU	0 s	0 s	0 s	0 s	1 s	1 s	2 s	1 s	0 s	0 s	1 s	1 s	1 s
A,RCV_B,MF1,THS_T,LV	0 s	0 s	0 s	0 s	0 s	0 s	0 s	4 s	8 s	6 s	4 s	6 s	7 s
A,RCV_B,MF1,THS_T,MT	0 s	3 s	5 s	6 s	7 s	9 s	10 s	14 s	17 s	19 s	21 s	23 s	25 s
A,RCV_B,MF1,THS_T,NL	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_B,MF1,THS_T,PL	31 s	24 s	17 s	21 s	25 s	23 s	21 s	23 s	24 s	39 s	54 s	43 s	46 s
A,RCV_B,MF1,THS_T,PT	1 s	1 s	2 s	2 s	3 s	4 s	6 s	7 s	7 s	9 s	10 s	10 s	11 s
A,RCV_B,MF1,THS_T,RO	13 s	45 s	76 s	41 s	6 s	6 s	5 s	3 s	2 s	9 s	16 s	3 s	4 s
A,RCV_B,MF1,THS_T,SE	1 s	4 s	7 s	4 s	0 s	1 s	2 s	3 s	5 s	9 s	13 s	10 s	11 s
A,RCV_B,MF1,THS_T,SI	85 s	54 s	23 s	12 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_B,MF1,THS_T,SK	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	1 s	0 s	0 s	0 s	1 s
A,RCV_B,MF1,T_HAB,AT	0 s	0 s	0 s	0.001 s	0.001 s	0.001 s	0 s	0 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s
A,RCV_B,MF1,T_HAB,BE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0.001 s	0.002 s	0.001 s	0.001 s
A,RCV_B,MF1,T_HAB,BG	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_B,MF1,T_HAB,CY	0 s	0.006 s	0.012 s	0.006 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_B,MF1,T_HAB,CZ	0.011 s	0.011 s	0.01 s	0.012 s	0.013 s	0.012 s	0.011 s	0.01 s	0.009 s	0.007 s	0.006 s	0.008 s	0.008 s
A,RCV_B,MF1,T_HAB,DE	0.002 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s
A,RCV_B,MF1,T_HAB,DK	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0.004 s	0.007 s	0.007 s	0.006 s	0.007 s	0.007 s
A,RCV_B,MF1,T_HAB,EE	0.001 s	0.001 s	0.002 s	0.002 s	0.001 s	0.005 s	0.008 s	0.006 s	0.004 s	0.004 s	0.004 s	0.006 s	0.007 s
A,RCV_B,MF1,T_HAB,EL	0 s	0 s	0 s	0 s	0 s	0.001 s	0.002 s	0.001 s	0.001 s	0 s	0 s	0.001 s	0.001 s
A,RCV_B,MF1,T_HAB,ES	0.001 s	0.001 s	0.001 s	0.001 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_B,MF1,T_HAB,EU27_2020	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s
A,RCV_B,MF1,T_HAB,FI	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_B,MF1,T_HAB,FR	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s
A,RCV_B,MF1,T_HAB,HR	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_B,MF1,T_HAB,HU	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0.003 s	0.005 s	0.003 s	0.003 s
A,RCV_B,MF1,T_HAB,IE	0.011 s	0.011 s	0.012 s	0.012 s	0.012 s	0.013 s	0.014 s	0.012 s	0.009 s	0.005 s	0.001 s	0.006 s	0.006 s
A,RCV_B,MF1,T_HAB,IT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_B,MF1,T_HAB,LT	0 s	0 s	0 s	0 s	0 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s
A,RCV_B,MF1,T_HAB,LU	0 s	0 s	0 s	0.001 s	0.002 s	0.002 s	0.003 s	0.002 s	0 s	0.001 s	0.001 s	0.001 s	0.001 s
A,RCV_B,MF1,T_HAB,LV	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0.002 s	0.004 s	0.003 s	0.002 s	0.003 s	0.004 s
A,RCV_B,MF1,T_HAB,MT	0.001 s	0.007 s	0.012 s	0.014 s	0.015 s	0.019 s	0.023 s	0.029 s	0.035 s	0.038 s	0.042 s	0.044 s	0.047 s
A,RCV_B,MF1,T_HAB,NL	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_B,MF1,T_HAB,PL	0.001 s	0.001 s	0 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s
A,RCV_B,MF1,T_HAB,PT	0 s	0 s	0 s	0 s	0 s	0 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s
A,RCV_B,MF1,T_HAB,RO	0.001 s	0.002 s	0.004 s	0.002 s	0 s	0 s	0 s	0 s	0 s	0 s	0.001 s	0 s	0 s
A,RCV_B,MF1,T_HAB,SE	0 s	0 s	0.001 s	0 s	0 s	0 s	0 s	0 s	0 s	0.001 s	0.001 s	0.001 s	0.001 s
A,RCV_B,MF1,T_HAB,SI	0.041 s	0.026 s	0.011 s	0.006 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_B,MF1,T_HAB,SK	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_B,MF2,THS_T,AT	0 s	0 s	0 s	1 s	2 s	1 s	0 s	1 s	1 s	1 s	1 s	1 s	1 s
A,RCV_B,MF2,THS_T,BE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	2 s	4 s	2 s	2 s
A,RCV_B,MF2,THS_T,BG	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
