freq,wst_oper,material,unit,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,DSP_I,MF1,T_HAB,PL	0.005 s	0.004 s	0.004 s	0.007 s	0.01 s	0.009 s	0.007 s	0.007 s	0.007 s	0.005 s	0.004 s	0.007 s	0.007 s
A,DSP_I,MF1,T_HAB,PT	0.001 s	0.001 s	0.002 s	0.001 s	0 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s
A,DSP_I,MF1,T_HAB,RO	0.003 s	0.004 s	0.005 s	0.003 s	0.002 s	0.003 s	0.003 s	0.003 s	0.003 s	0.003 s	0.003 s	0.003 s	0.003 s
A,DSP_I,MF1,T_HAB,SE	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.004 s	0.006 s	0.004 s	0.001 s	0.001 s	0.001 s	0.003 s	0.003 s
A,DSP_I,MF1,T_HAB,SI	0.001 s	0.002 s	0.002 s	0.002 s	0.002 s	0.002 s	0.002 s	0.002 s	0.001 s	0.002 s	0.002 s	0.002 s	0.002 s
A,DSP_I,MF1,T_HAB,SK	0.008 s	0.008 s	0.009 s	0.009 s	0.008 s	0.007 s	0.005 s	0.005 s	0.005 s	0.003 s	0.001 s	0.003 s	0.003 s
A,DSP_I,MF2,THS_T,AT	90 s	48 s	5 s	48 s	48 s	48 s	48 s	48 s	48 s	48 s	48 s	48 s	48 s
A,DSP_I,MF2,THS_T,BE	94 s	109 s	125 s	101 s	77 s	63 s	48 s	52 s	56 s	40 s	24 s	27 s	26 s
A,DSP_I,MF2,THS_T,BG	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	4 s	7 s	4 s	4 s
A,DSP_I,MF2,THS_T,CY	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF2,THS_T,CZ	4 s	5 s	6 s	7 s	8 s	8 s	8 s	9 s	10 s	9 s	9 s	10 s	11 s
A,DSP_I,MF2,THS_T,DE	717 s	666 s	614 s	522 s	430 s	324 s	218 s	151 s	84 s	95 s	106 s	73 s	72 s
A,DSP_I,MF2,THS_T,DK	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF2,THS_T,EE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF2,THS_T,EL	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF2,THS_T,ES	3 s	2 s	1 s	1 s	1 s	1 s	1 s	5 s	10 s	8 s	7 s	8 s	9 s
A,DSP_I,MF2,THS_T,EU27_2020	2031 s	1849 s	1668 s	1527 s	1344 s	1121 s	898 s	778 s	657 s	611 s	564 s	481 s	441 s
A,DSP_I,MF2,THS_T,FI	21 s	19 s	17 s	22 s	28 s	16 s	5 s	6 s	6 s	9 s	12 s	7 s	6 s
A,DSP_I,MF2,THS_T,FR	537 s	521 s	504 s	457 s	410 s	374 s	338 s	309 s	279 s	262 s	244 s	192 s	160 s
A,DSP_I,MF2,THS_T,HR	3 s	1 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF2,THS_T,HU	7 s	7 s	7 s	8 s	8 s	8 s	8 s	8 s	8 s	8 s	8 s	8 s	8 s
A,DSP_I,MF2,THS_T,IE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF2,THS_T,IT	276 s	257 s	238 s	233 s	229 s	177 s	125 s	85 s	45 s	37 s	28 s	21 s	19 s
A,DSP_I,MF2,THS_T,LT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF2,THS_T,LU	8 s	8 s	9 s	4 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF2,THS_T,LV	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF2,THS_T,MT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF2,THS_T,NL	228 s	167 s	106 s	75 s	44 s	47 s	50 s	55 s	60 s	52 s	45 s	39 s	35 s
A,DSP_I,MF2,THS_T,PL	15 s	14 s	13 s	24 s	35 s	26 s	18 s	19 s	21 s	15 s	9 s	18 s	18 s
A,DSP_I,MF2,THS_T,PT	2 s	2 s	2 s	3 s	3 s	3 s	3 s	3 s	4 s	4 s	4 s	4 s	4 s
A,DSP_I,MF2,THS_T,RO	9 s	10 s	11 s	7 s	4 s	4 s	4 s	4 s	3 s	3 s	2 s	2 s	1 s
A,DSP_I,MF2,THS_T,SE	15 s	11 s	7 s	12 s	17 s	20 s	23 s	21 s	20 s	15 s	10 s	19 s	19 s
A,DSP_I,MF2,THS_T,SI	1 s	1 s	1 s	1 s	1 s	1 s	1 s	1 s	1 s	0 s	0 s	0 s	0 s
A,DSP_I,MF2,THS_T,SK	1 s	1 s	2 s	1 s	1 s	1 s	0 s	1 s	2 s	1 s	0 s	1 s	1 s
A,DSP_I,MF2,T_HAB,AT	0.011 s	0.006 s	0.001 s	0.006 s	0.006 s	0.006 s	0.005 s	0.005 s	0.005 s	0.005 s	0.005 s	0.005 s	0.005 s
A,DSP_I,MF2,T_HAB,BE	0.009 s	0.01 s	0.011 s	0.009 s	0.007 s	0.006 s	0.004 s	0.005 s	0.005 s	0.003 s	0.002 s	0.002 s	0.002 s
