Year,geo,geo_long,avg_CO2_g_per_km,count_prem_deaths,units_CO2_equivalents,million_euros
2016,DE,Germany,126.9,44203,884832.4033,3703.0
2016,EE,Estonia,133.9,132,19452.74718,
2016,IE,Ireland,112,468,69041.82256,
2016,GR,Greece,106.3,,,
2016,ES,Spain,114.4,17510,276861.908,385.0
2016,FR,France,109.8,24417,426178.8578,1970.0
2016,HR,Croatia,111.5,5122,19125.45147,
2016,IT,Italy,113.3,49618,399801.3079,8691.0
2016,CY,Cyprus,123.5,541,8670.93583,202.0
2016,LV,Latvia,128.9,1238,9099.70283,
2016,LT,Lithuania,126.2,2054,13120.49033,0.0
2016,LU,Luxembourg,126.1,175,9609.50054,56.0
2016,HU,Hungary,125.9,11290,58134.72596,9.0
2016,MT,Malta,111.8,151,1843.15982,
2016,NL,Netherlands,105.9,6634,200218.6157,959.0
2016,AT,Austria,120.4,3966,72828.51647,0.0
2016,PL,Poland,125.8,41552,358464.0215,0.0
2016,PT,Portugal,104.7,2906,67537.37524,255.0
2016,RO,Romania,122,21587,62748.74787,0.0
2016,SI,Slovenia,119,1467,18746.76134,
2016,SK,Slovakia,124.8,4470,35542.11824,
2016,FI,Finland,120,225,44474.87058,
2016,SE,Sweden,123.1,735,8252.00009,
2016,UK,United Kingdom,120.1,,,
2017,BE,Belgium,115.9,5676,116263.9235,29.0
2017,BG,Bulgaria,126.2,13120,50363.1453,0.0
2017,CZ,Czechia,124.1,9335,127184.0068,667.0
2017,DK,Denmark,107.1,1366,51261.71443,0.0
2017,DE,Germany,127.2,45191,870877.5854,5367.0
2017,EE,Estonia,132.8,70,21165.77462,
2017,IE,Ireland,111.6,275,70863.39441,285.0
2017,GR,Greece,108.8,,,
2017,ES,Spain,115,20142,289396.862,395.0
2017,FR,France,110.4,22983,438358.3375,5996.0
2017,HR,Croatia,113.1,4668,20813.57368,155.0
2017,IT,Italy,113.3,54674,414043.4104,12427.0
2017,CY,Cyprus,122.2,621,8733.1624,
2017,LV,Latvia,128.8,898,7685.57137,469.0
2017,LT,Lithuania,127.4,1490,13829.3696,532.0
2017,LU,Luxembourg,127,150,9880.30417,
2017,HU,Hungary,125.6,12614,59707.63689,24.0
2017,MT,Malta,111,172,2029.44394,
2017,NL,Netherlands,108.3,6695,196536.7897,
2017,AT,Austria,120.7,4239,78883.08019,1134.0
2017,PL,Poland,127.6,44821,372154.6968,70.0
2017,PT,Portugal,104.7,3041,93017.63756,2096.0
2017,RO,Romania,120.6,23469,67825.97233,36.0
2017,SI,Slovenia,119.6,1554,18819.8978,197.0
2017,SK,Slovakia,126.1,5032,36742.07276,
2017,FI,Finland,118.2,97,44060.80182,
2017,SE,Sweden,122.3,412,13772.65329,
2017,UK,United Kingdom,121.1,,,
2018,BE,Belgium,119.4,5914,116976.659,203.0
2018,BG,Bulgaria,126.7,12027,45866.38758,
2018,CZ,Czechia,126,10305,130891.6823,143.0
2018,DK,Denmark,109.6,2206,53009.0789,90.0
2018,DE,Germany,129.5,49262,838514.2591,9520.0
2018,EE,Estonia,132.4,230,22287.34962,
2018,IE,Ireland,113.3,624,69998.09262,
2018,GR,Greece,111.4,,,
2018,ES,Spain,118.1,15104,282765.6868,2054.0
2018,FR,France,112.2,22888,420714.3845,3235.0
2018,HR,Croatia,115.3,4696,19097.16142,307.0
2018,IT,Italy,115.9,46884,388460.2532,5462.0
2018,CY,Cyprus,123.4,526,8592.75981,
2018,LV,Latvia,128.8,1436,10669.82665,115.0
2018,LT,Lithuania,128.6,2110,14468.4579,
2018,LU,Luxembourg,131.4,150,10322.12371,
2018,HU,Hungary,127.9,12161,60222.04258,7.0
2018,MT,Malta,107.7,196,2038.20778,
2018,NL,Netherlands,105.5,7554,191382.0558,5.0
2018,AT,Austria,123,5001,83775.25886,363.0
2018,PL,Poland,129.8,46792,372746.173,784.0
2018,PT,Portugal,106.1,2640,64391.83698,166.0
2018,RO,Romania,121.5,23158,71029.07514,134.0
2018,SI,Slovenia,120.9,1495,18735.35924,
2018,SK,Slovakia,127.6,4857,37578.11139,0.0
2018,FI,Finland,116.7,454,54204.11497,
2018,SE,Sweden,122.2,902,16333.4798,95.0
2018,UK,United Kingdom,124.6,,,
2019,BE,Belgium,121.5,4533,115983.2398,275.0
2019,BG,Bulgaria,130.2,9906,44644.71048,
2019,CZ,Czechia,128.7,6941,131887.6563,
2019,DK,Denmark,111.9,1719,48317.66788,0.0
2019,DE,Germany,131.2,34359,787811.4092,7742.0
2019,EE,Estonia,130.1,79,15687.33864,
2019,IE,Ireland,113.8,598,67822.10632,49.0
2019,GR,Greece,115.6,,,
2019,ES,Spain,121.3,14734,264584.7796,4661.0
2019,FR,France,113.8,18709,412832.6248,5616.0
2019,HR,Croatia,119.4,3472,19063.54691,0.0
2019,IT,Italy,119.4,42658,380439.1574,4948.0
2019,CY,Cyprus,126.7,582,8669.54646,
2019,LV,Latvia,127.9,1001,8851.64498,
2019,LT,Lithuania,132,1880,14403.6456,
2019,LU,Luxembourg,133,93,10376.39833,155.0
2019,HU,Hungary,129.7,8667,59383.73497,12.0
2019,MT,Malta,109.1,188,2155.64191,26.0
2019,NL,Netherlands,98.4,6064,185543.8879,44.0
2019,AT,Austria,125.5,3685,82126.61236,573.0
2019,PL,Poland,130.4,35647,368576.1399,0.0
2019,PT,Portugal,109.4,2517,59760.84747,562.0
2019,RO,Romania,124.3,18470,67540.15,
2019,SI,Slovenia,123.8,1147,13860.00613,183.0
2019,SK,Slovakia,130.4,3462,34486.23043,30.0
2019,FI,Finland,115.3,167,46063.13787,
2019,SE,Sweden,119.7,528,12351.59743,152.0
2019,UK,United Kingdom,127.7,,,
2020,BE,Belgium,107.7,3927,106937.7525,513.0
2020,BG,Bulgaria,121.5,10623,38639.36112,6.0
2020,CZ,Czechia,120.6,6900,124987.3677,165.0
2020,DK,Denmark,95.4,1038,45954.55965,61.0
2020,DE,Germany,113.5,28886,735119.5244,1508.0
2020,EE,Estonia,121,58,13916.1547,0.0
2020,IE,Ireland,106.1,488,66098.75068,201.0
2020,GR,Greece,107.3,,,
2020,ES,Spain,111.1,16982,228149.605,2282.0
2020,FR,France,98.5,16507,370706.8008,4527.0
2020,HR,Croatia,111.7,4128,18240.02823,1137.0
2020,IT,Italy,108.3,52295,352425.1546,2552.0
2020,CY,Cyprus,125.1,565,8281.3143,0.0
2020,LV,Latvia,119.4,836,11297.73581,0.0
2020,LT,Lithuania,119.3,1461,13567.43332,0.0
2020,LU,Luxembourg,119.7,76,8582.24968,19.0
2020,HU,Hungary,116.6,9502,55855.77196,12.0
2020,MT,Malta,105.1,151,2120.13993,
2020,NL,Netherlands,85.7,4967,168929.4869,502.0
2020,AT,Austria,112.3,3167,68688.64609,226.0
2020,PL,Poland,121.7,36541,352937.1027,45.0
2020,PT,Portugal,97.5,2639,53442.79916,93.0
2020,RO,Romania,115.4,21590,61629.2816,433.0
2020,SI,Slovenia,114.2,1236,12832.05345,8.0
2020,SK,Slovakia,120.2,3916,29538.43113,19.0
2020,FI,Finland,99.6,61,38709.25982,93.0
2020,SE,Sweden,93.5,368,4927.40855,68.0
2020,UK,United Kingdom,111.7,,,
